,date,difhat
150,2020-06-20,0.02953180301354978
151,2020-06-21,0.027388006876420422
152,2020-06-22,0.02408332490654367
153,2020-06-23,0.019152593791146182
154,2020-06-24,0.014297704520222606
155,2020-06-25,0.007336434422110143
156,2020-06-26,0.00015572858731980731
157,2020-06-27,-0.007701486500177852
158,2020-06-28,-0.011850541005197527
159,2020-06-29,-0.01570634037825141
160,2020-06-30,-0.014455455556728301
161,2020-07-01,-0.016268581251951388
162,2020-07-02,-0.017916877338517833
163,2020-07-03,-0.022403680857594692
164,2020-07-04,-0.02425523308735122
165,2020-07-05,-0.023649509556152883
166,2020-07-06,-0.024648599454022594
167,2020-07-07,-0.02354737587226134
168,2020-07-08,-0.019623824451477437
169,2020-07-09,-0.015850945495048382
170,2020-07-10,-0.012697947214119456
