,date,r0hat
158,2020-06-28,0.931952468040456
159,2020-06-29,0.8908386858821188
160,2020-06-30,0.8944036052356719
161,2020-07-01,0.9628343735310482
162,2020-07-02,0.8500286401012628
163,2020-07-03,0.9452506280695672
164,2020-07-04,0.8975663160197949
165,2020-07-05,0.9207229026388568
166,2020-07-06,0.834204204601046
167,2020-07-07,0.754267096530796
168,2020-07-08,0.9454743694574079
169,2020-07-09,1.0452024551463346
170,2020-07-10,0.7933552863340252
171,2020-07-11,0.757099123853431
172,2020-07-12,0.8959710464301469
173,2020-07-13,0.8395588336548312
174,2020-07-14,1.073473835707588
175,2020-07-15,1.0675946784053512
176,2020-07-16,1.1649892039413516
177,2020-07-17,1.350481181235526
178,2020-07-18,1.5906820908545933
179,2020-07-19,1.999938554005574
