,date,I,R,D,C,I_p,C_p
132,2020-06-02,8707,166609,8563,183879,9539.602698049135,183879.0
133,2020-06-03,8066,167453,8602,184121,8657.320946361702,184121.0
134,2020-06-04,7928,167909,8635,184472,8378.901035062245,184472.0
135,2020-06-05,7786,168480,8658,184924,7669.437573810606,184924.0
136,2020-06-06,7819,168958,8673,185450,7050.2145579323815,185450.0
137,2020-06-07,7841,169224,8685,185750,6562.2091595754,185750.0
138,2020-06-08,7858,169556,8695,186109,7172.96492788962,186109.0
139,2020-06-09,7641,170129,8736,186506,7595.306826471941,186506.0
140,2020-06-10,7140,170630,8752,186522,7465.358150555431,186522.0
141,2020-06-11,6958,170961,8772,186691,8150.042300603091,186691.0
142,2020-06-12,6908,171535,8783,187226,7260.401638937387,187226.0
143,2020-06-13,6504,171970,8793,187267,6548.513703330347,187267.0
144,2020-06-14,6628,172089,8801,187518,6180.527393201243,187518.0
145,2020-06-15,6183,172692,8807,187682,6002.014498811629,187682.0
146,2020-06-16,6590,172842,8820,188252,6245.394304630969,188252.0
147,2020-06-17,6154,173599,8851,188604,6086.350305202359,188604.0
148,2020-06-18,7095,173847,8875,189817,6049.981091619143,189817.0
149,2020-06-19,7440,173972,8887,190299,6124.444783169652,190299.0
150,2020-06-20,7166,174609,8895,190670,6938.412965207258,190670.0
151,2020-06-21,7637,174740,8895,191272,7855.020298360735,191272.0
152,2020-06-22,7726,175143,8899,191768,7777.394004264363,191768.0
153,2020-06-23,7741,175825,8914,192480,8812.617206461007,192480.0
154,2020-06-24,7521,176422,8928,192871,7996.437462027023,192871.0
155,2020-06-25,7667,176764,8940,193371,7884.233887708802,193371.0
156,2020-06-26,7922,177149,8965,194036,8076.443470192836,194036.0
157,2020-06-27,7972,177518,8968,194458,7990.836694312498,194458.0
158,2020-06-28,8068,177657,8968,194693,8083.520600733133,194693.0
159,2020-06-29,8296,177770,8976,195042,8098.784552268195,195042.0
160,2020-06-30,8328,178100,8990,195418,8438.745594024374,195418.0
161,2020-07-01,7798,179100,8995,195893,8606.162974634673,195893.0
162,2020-07-02,7564,179800,9006,196370,8409.610794000786,196370.0
163,2020-07-03,7470,180300,9010,196780,8338.897927519361,196780.0
164,2020-07-04,7178,181000,9020,197198,7597.134016583273,197198.0
165,2020-07-05,6781,181719,9023,197523,6928.467718983472,197523.0
166,2020-07-06,6882,182160,9022,198064,6550.152196669888,198064.0
167,2020-07-07,6650,182661,9032,198343,6490.8098343968095,198343.0
168,2020-07-08,6500,183153,9046,198699,6317.126493824285,198699.0
169,2020-07-09,6216,183728,9057,199001,6177.749165748855,199001.0
170,2020-07-10,6241,184028,9063,199332,6274.005275721518,199332.0
171,2020-07-11,6373,184266,9070,199709,6013.386450900907,199709.0
172,2020-07-12,6434,184414,9071,199919,5747.542617001513,199919.0
173,2020-07-13,6006,185100,9074,200180,5897.212290672291,200180.0
174,2020-07-14,6278,185100,9078,200456,6120.628707353402,200456.0
175,2020-07-15,5810,186000,9080,200890,6502.467596718143,200890.0
176,2020-07-16,5963,186400,9087,201450,6528.43270124657,201450.0
177,2020-07-17,6057,186900,9088,202045,5651.563614174933,202045.0
178,2020-07-18,6135,187200,9091,202426,5623.466565807952,202426.0
179,2020-07-19,6243,187400,9092,202735,6282.551262423933,202735.0
180,2020-07-20,6161,188070,9094,203325,5825.2854747909605,203325.0
181,2020-07-21,6397,188221,9099,203717,6495.385482042191,203717.0
182,2020-07-22,6546,188628,9102,204276,6329.965755515986,204276.0
183,2020-07-23,6631,189140,9110,204881,6429.744978617215,204881.0
184,2020-07-24,6807,189696,9120,205623,6512.541455430971,205623.0
185,2020-07-25,7235,189919,9124,206278,6932.481702178589,206278.0
186,2020-07-26,7488,190055,9124,206667,7264.097587755482,206667.0
187,2020-07-27,7673,190314,9125,207112,7541.744085479988,207112.0
188,2020-07-28,7865,190711,9131,207707,7832.5405101128945,207707.0
189,2020-07-29,8132,191279,9135,208546,8337.410084141175,208546.0
190,2020-07-30,8840,191551,9144,209535,8615.324688348179,209535.0
191,2020-07-31,9260,191992,9147,210399,8607.605747964515,210399.0
192,2020-08-01,9215,192636,9154,211005,9369.286899473827,211005.0
193,2020-08-02,9158,192908,9154,211220,10193.311388916862,211220.0
194,2020-08-03,9363,193594,9154,212111,10447.467414004705,212111.0
195,2020-08-04,9492,194173,9163,212828,10270.24098758554,212828.0
196,2020-08-05,10366,194568,9179,214113,9805.95984324146,214113.0
197,2020-08-06,10577,195281,9181,215039,9672.573719413362,215039.0
198,2020-08-07,11066,195935,9195,216196,10385.312951376707,216196.0
199,2020-08-08,11152,196550,9201,216903,11450.77223947438,216903.0
200,2020-08-09,11303,196783,9202,217288,11893.904382620209,217288.0
201,2020-08-10,11923,197382,9203,218508,12599.310230173556,218508.0
202,2020-08-11,11985,198347,9208,219540,12201.116543496915,219540.0
203,2020-08-12,12655,198991,9213,220859,12479.42793673605,220859.0
204,2020-08-13,13410,199654,9217,222281,12467.4626480939,222281.0
205,2020-08-14,14121,200440,9230,223791,13279.392065813208,223791.0
206,2020-08-15,14497,200756,9235,224488,14358.02133436995,224488.0
207,2020-08-16,14585,201187,9235,225007,15064.050574748024,225007.0
208,2020-08-17,15215,202249,9236,226700,16163.125279507974,226700.0
209,2020-08-18,15202,203677,9241,228120,16075.225672069582,228120.0
210,2020-08-19,16003,204454,9249,229706,16044.70897237734,229706.0
211,2020-08-20,16670,205359,9263,231292,15913.924315960448,231292.0
212,2020-08-21,17107,206656,9266,233029,16337.638743390013,233029.0
213,2020-08-22,16983,207606,9272,233861,17450.42097084817,233861.0
214,2020-08-23,17234,207985,9275,234494,18029.01924596496,234494.0
215,2020-08-24,18193,208653,9276,236122,18958.86570560452,236122.0
216,2020-08-25,17969,210333,9281,237583,18034.641634205556,237583.0
217,2020-08-26,18034,211691,9285,239010,18482.173528694508,239010.0
218,2020-08-27,18372,212909,9290,240571,18158.929648008623,240571.0
219,2020-08-28,18650,214186,9290,242126,18967.58466455412,242126.0
220,2020-08-29,18746,214790,9299,242835,19101.828552018556,242835.0
221,2020-08-30,18722,215283,9300,243305,18932.4225551007,243305.0
222,2020-08-31,18704,216795,9303,244802,19073.808316768955,244802.0
223,2020-09-01,18305,218403,9307,246015,19142.76525817475,246015.0
224,2020-09-02,18185,219904,9322,247411,19111.902388568527,247411.0
225,2020-09-03,17993,221525,9322,248840,17560.943009935683,248840.0
226,2020-09-04,18154,222802,9327,250283,17651.328164519593,250283.0
227,2020-09-05,18159,223570,9329,251058,17628.72367049789,251058.0
228,2020-09-06,18183,224215,9330,251728,17565.02483276768,251728.0
229,2020-09-07,18591,225704,9331,253626,17236.040944572855,253626.0
230,2020-09-08,18242,227379,9336,254957,18908.926111189776,254957.0
231,2020-09-09,18307,228784,9342,256433,18708.14286501697,256433.0
232,2020-09-10,18521,230283,9345,258149,18872.94918411226,258149.0
233,2020-09-11,19038,231349,9348,259735,18877.08375762356,259735.0
234,2020-09-12,19512,231953,9352,260817,18901.03145815988,260817.0
235,2020-09-13,19842,232541,9354,261737,19320.83020029834,261737.0
236,2020-09-14,19849,234017,9356,263222,20128.42346209585,263222.0
237,2020-09-15,20535,235112,9367,265014,20629.94090505258,265014.0
238,2020-09-16,20873,236623,9373,266869,20871.016457840204,266869.0
239,2020-09-17,21235,238437,9376,269048,21170.75149658918,269048.0
240,2020-09-18,22207,239654,9386,271247,21514.77920564304,271247.0
241,2020-09-19,23034,240510,9388,272932,21875.635453695148,272932.0
242,2020-09-20,23383,241192,9390,273965,23231.961249164862,273965.0
243,2020-09-21,23514,242656,9390,275560,24028.137683807232,275560.0
244,2020-09-22,23314,244693,9405,277412,24941.808553111183,277412.0
245,2020-09-23,23896,245706,9423,279025,25403.61381554893,279025.0
246,2020-09-24,24144,247766,9436,281346,24453.789354901848,281346.0
247,2020-09-25,25097,249164,9451,283712,24148.174812875248,283712.0
248,2020-09-26,25463,250104,9459,285026,24275.98469722573,285026.0
249,2020-09-27,26009,250866,9464,286339,24958.35794448177,286339.0
250,2020-09-28,26470,252693,9468,288631,26271.050391374192,288631.0
251,2020-09-29,25776,255212,9483,290471,26926.772444992483,290471.0
252,2020-09-30,26557,256861,9495,292913,28195.51540609059,292913.0
253,2020-10-01,27810,258220,9509,295539,26638.278826263773,295539.0
254,2020-10-02,29134,259722,9518,298374,27026.703988829453,298374.0
255,2020-10-03,29580,260916,9531,300027,27606.180721944,300027.0
256,2020-10-04,30038,262002,9533,301573,29438.428190942894,301573.0
257,2020-10-05,29495,265624,9554,304673,32027.488727949203,304673.0
258,2020-10-06,29814,267747,9566,307127,32882.37289091903,307127.0
259,2020-10-07,31833,269722,9582,311137,31336.049846279213,311137.0
260,2020-10-08,34387,271960,9594,315941,30270.13830172672,315941.0
261,2020-10-09,37178,273718,9599,320495,31395.84273752349,320495.0
262,2020-10-10,38909,274934,9620,323463,34982.168791176235,323463.0
263,2020-10-11,39700,276983,9626,326309,39762.09866461562,326309.0
264,2020-10-12,44819,278391,9640,332850,45099.79481627725,332850.0
265,2020-10-13,47099,280533,9682,337314,45555.803886105976,337314.0
266,2020-10-14,51115,283656,9716,344487,49209.45620363791,344487.0
267,2020-10-15,56231,286137,9739,352107,52278.73381210136,352107.0
268,2020-10-16,61002,289027,9773,359802,57749.94429724532,359802.0
269,2020-10-17,63750,291129,9785,364664,66654.57538748875,364664.0
270,2020-10-18,65426,293447,9798,368671,70024.64410617591,368671.0
271,2020-10-19,70554,296672,9842,377068,75945.86992051276,377068.0
272,2020-10-20,75966,299743,9882,385591,77118.70238599202,385591.0
273,2020-10-21,83838,304173,9911,397922,78474.23203907229,397922.0
274,2020-10-22,85135,308779,9960,403874,82214.73641614243,403874.0
275,2020-10-23,95025,312347,9978,417350,91203.70068638909,417350.0
276,2020-10-24,101649,316124,10035,427808,101399.92848759591,427808.0
277,2020-10-25,107632,320004,10062,437698,109145.23955791615,437698.0
278,2020-10-26,115115,325052,10091,450258,117291.03361045348,450258.0
279,2020-10-27,125601,327697,10121,463419,119919.51976713788,463419.0
280,2020-10-28,132639,336764,10218,479621,135917.58084561737,479621.0
281,2020-10-29,147613,340436,10305,498354,142110.96236476727,498354.0
282,2020-10-30,155424,351921,10391,517736,151595.24405149682,517736.0
283,2020-10-31,164897,356410,10483,531790,169186.70977278368,531790.0
284,2020-11-01,170288,363545,10513,544346,182202.5511474811,544346.0
285,2020-11-02,186430,372499,10669,569598,190620.7841176385,569598.0
286,2020-11-03,193023,373391,10717,577131,200652.90017889903,577131.0
287,2020-11-04,213650,384012,10949,608611,204183.65112154247,608611.0
288,2020-11-05,225446,394616,11110,631172,215348.51229182383,631172.0
289,2020-11-06,236943,405809,11240,653992,235682.0867430155,653992.0
290,2020-11-07,243324,413484,11306,668114,257405.66916281168,668114.0
291,2020-11-08,250101,421151,11372,682624,265299.1394005525,682624.0
292,2020-11-09,234117,443621,11408,689146,279523.1572324452,689146.0
293,2020-11-10,257510,446402,11781,715693,271454.8811984821,715693.0
294,2020-11-11,265596,460504,11994,738094,250843.40995386327,738094.0
295,2020-11-12,276408,474208,12216,762832,257357.3340578241,762832.0
296,2020-11-13,284776,487913,12404,785093,268267.3360473388,785093.0
297,2020-11-14,288226,498996,12511,799733,281415.5932610861,799733.0
298,2020-11-15,284659,505714,12573,802946,318587.15432684525,802946.0
299,2020-11-16,282380,522313,12833,817526,304854.82174050336,817526.0
300,2020-11-17,293272,537347,13138,843757,302255.7333016804,843757.0
301,2020-11-18,299822,554272,13390,867484,286245.4285846148,867484.0
302,2020-11-19,306902,570961,13662,891525,289222.0314528395,891525.0
303,2020-11-20,312420,587780,13918,914118,297416.7210566316,914118.0
304,2020-11-21,312938,600991,14061,927990,315147.93514690845,927990.0
305,2020-11-22,306581,611627,14159,932367,324071.37469168246,932367.0
306,2020-11-23,301987,630375,14460,946822,322022.97680076305,946822.0
307,2020-11-24,299290,649070,14832,963192,314475.1061724744,963192.0
308,2020-11-25,314296,666373,15210,995879,300919.30040624895,995879.0
309,2020-11-26,316653,685537,15640,1017830,293634.37501531787,1017830.0
310,2020-11-27,317425,705213,16011,1038649,294517.156776879,1038649.0
311,2020-11-28,317709,718604,16181,1052494,315124.8894911865,1052494.0
312,2020-11-29,308588,730797,16306,1055691,326307.1950182917,1055691.0
313,2020-11-30,303999,749219,16694,1069912,328974.0146532886,1069912.0
314,2020-12-01,308121,769380,17177,1094678,308806.1692996771,1094678.0
315,2020-12-02,310730,789564,17659,1117953,293222.2823700116,1117953.0
316,2020-12-03,312356,811091,18097,1141544,298716.5117256409,1141544.0
317,2020-12-04,307002,831935,18577,1157514,298980.8136348631,1157514.0
318,2020-12-05,312221,852580,18839,1183640,309959.4998457142,1183640.0
319,2020-12-06,307276,868285,18989,1194550,308674.9867345052,1194550.0
320,2020-12-07,291871,888701,19434,1200006,310829.032634847,1200006.0
321,2020-12-08,300209,909058,20002,1229269,303670.08674251084,1229269.0
322,2020-12-09,304626,929272,20460,1254358,287069.6173440248,1254358.0
323,2020-12-10,316115,949913,21064,1287092,286731.27837264,1287092.0
324,2020-12-11,326504,966238,21567,1314309,290218.88617875654,1314309.0
325,2020-12-12,338270,975931,21900,1336101,305726.89421687304,1336101.0
326,2020-12-13,337997,990707,22106,1350810,342610.53974700667,1350810.0
327,2020-12-14,322550,1012077,22634,1357261,356042.3983763963,1357261.0
328,2020-12-15,335821,1031721,23544,1391086,354250.6324899951,1391086.0
329,2020-12-16,343080,1056477,24273,1423830,337176.6232995002,1423830.0
330,2020-12-17,350038,1078944,25027,1454009,333135.2445796609,1454009.0
331,2020-12-18,365103,1095982,25754,1486839,331808.9474043532,1486839.0
332,2020-12-19,375232,1107115,26171,1508518,346902.0172631614,1508518.0
333,2020-12-20,364837,1123725,26400,1514962,383002.5879124159,1514962.0
334,2020-12-21,359165,1147943,27110,1534218,393987.6432538017,1534218.0
335,2020-12-22,370831,1171444,28096,1570371,381396.5864768118,1570371.0
336,2020-12-23,377748,1197472,28909,1604129,372655.0645431631,1604129.0
337,2020-12-24,380989,1220277,29330,1630596,365789.5591255088,1630596.0
338,2020-12-25,367188,1235968,29580,1632736,363118.3808932984,1632736.0
339,2020-12-26,363009,1253285,29946,1646240,386551.4434567788,1646240.0
340,2020-12-27,356310,1272032,30297,1658639,379592.482204543,1658639.0
341,2020-12-28,346566,1294932,31145,1672643,357619.6588198356,1672643.0
342,2020-12-29,340085,1319757,32267,1692109,339027.9466386292,1692109.0
343,2020-12-30,361971,1345952,33230,1741153,330105.76750922424,1741153.0
344,2020-12-31,376021,1350708,33791,1760520,327322.8167924631,1760520.0
345,2021-01-01,339748,1388744,34145,1762637,340648.5498108024,1762637.0
346,2021-01-02,338250,1400810,34480,1773540,367300.28962182347,1773540.0
347,2021-01-03,326954,1422151,34791,1783896,353697.5771012131,1783896.0
348,2021-01-04,315026,1445442,35748,1796216,345360.3087510206,1796216.0
349,2021-01-05,305497,1472311,36757,1814565,311520.6454296764,1814565.0
350,2021-01-06,307211,1496182,37835,1841228,278213.39887866826,1841228.0
351,2021-01-07,330555,1517019,38987,1886561,290200.0208074405,1886561.0
352,2021-01-08,332473,1533143,40022,1905638,282172.9700100826,1905638.0
353,2021-01-09,341659,1546206,40597,1928462,307126.9715304725,1928462.0
354,2021-01-10,321567,1566907,40936,1929410,333645.9568989174,1929410.0
355,2021-01-11,309146,1590171,41799,1941116,360778.2055947997,1941116.0
356,2021-01-12,308676,1616761,42889,1968326,342776.9914266553,1968326.0
357,2021-01-13,309114,1640682,44096,1993892,305284.6894352641,1993892.0
358,2021-01-14,308634,1661394,45207,2015235,289077.1623046709,2015235.0
359,2021-01-15,313947,1664176,45705,2023828,280890.92035881674,2023828.0
360,2021-01-16,311702,1680479,46464,2038645,296254.3601450051,2038645.0
361,2021-01-17,293688,1709540,46901,2050129,312034.3593679307,2050129.0
362,2021-01-18,298923,1713196,47263,2059382,313604.9126485237,2059382.0
363,2021-01-19,264905,1757713,48997,2071615,292845.26543010655,2071615.0
364,2021-01-20,272289,1778319,50010,2100618,286858.749190151,2100618.0
365,2021-01-21,260371,1797648,50876,2108895,254622.1982643331,2108895.0
366,2021-01-22,259654,1813894,51713,2125261,246160.22827207248,2125261.0
367,2021-01-23,259657,1826161,51873,2137691,242298.3450950675,2137691.0
368,2021-01-24,254503,1840970,52296,2147769,230506.31207595504,2147769.0
369,2021-01-25,241593,1859936,53127,2154656,252200.1672343276,2154656.0
370,2021-01-26,228491,1881933,53619,2164043,243156.9828370656,2164043.0
371,2021-01-27,243248,1881933,54498,2179679,237716.21715352745,2179679.0
372,2021-01-28,223178,1915501,55883,2194562,221184.98986464491,2194562.0
373,2021-01-29,233143,1917964,56286,2207393,220656.44344627243,2207393.0
374,2021-01-30,228877,1938929,57105,2224911,211276.3791482981,2224911.0
375,2021-01-31,228450,1940046,57163,2225659,222144.76996658207,2225659.0
376,2021-02-01,207136,1967132,58059,2232327,228162.63013476727,2232327.0
377,2021-02-02,194811,1986214,58992,2240017,215409.08614509748,2240017.0
378,2021-02-03,188897,2003831,59776,2252504,213818.92245862287,2252504.0
379,2021-02-04,184599,2020303,60634,2265536,183068.26234947,2265536.0
380,2021-02-05,181879,2033168,61324,2276371,168509.66968615312,2276371.0
381,2021-02-06,181464,2041988,61551,2285003,157094.9540208802,2285003.0
382,2021-02-07,177309,2052656,61708,2291673,165329.20721862552,2291673.0
383,2021-02-08,179792,2054340,62191,2296323,171683.83589918702,2296323.0
384,2021-02-09,157079,2081966,63006,2302051,171774.22537485592,2302051.0
385,2021-02-10,150850,2096775,63672,2311297,173571.0096624374,2311297.0
386,2021-02-11,147493,2109508,64224,2321225,158951.0325701977,2321225.0
387,2021-02-12,145309,2120342,64771,2330422,141096.1853550411,2330422.0
388,2021-02-13,143914,2128002,64990,2336906,131131.0763265817,2336906.0
389,2021-02-14,139704,2136933,65107,2341744,121071.60851082002,2341744.0
390,2021-02-15,133319,2148269,65288,2346876,134940.01717815673,2346876.0
391,2021-02-16,125837,2161100,65829,2352766,135171.44978613744,2352766.0
392,2021-02-17,123320,2172312,66732,2362364,129391.2470989963,2362364.0
393,2021-02-18,122594,2182370,67245,2372209,120299.74295362548,2372209.0
394,2021-02-19,122310,2191208,67741,2381259,112443.5400770217,2381259.0
395,2021-02-20,123473,2197065,67883,2388421,110590.99829661912,2388421.0
396,2021-02-21,122459,2204110,67946,2394515,113071.84689708192,2394515.0
397,2021-02-22,118697,2212439,68363,2399499,119622.1239432545,2399499.0
398,2021-02-23,114506,2221972,68785,2405263,122021.55125902442,2405263.0
399,2021-02-24,115794,2231073,69170,2416037,118746.86461458288,2416037.0
400,2021-02-25,125676,2232050,69343,2427069,113989.31412192243,2427069.0
401,2021-02-26,119394,2247173,69939,2436506,110119.42380013438,2436506.0
402,2021-02-27,121115,2252970,70092,2444177,116931.41448229416,2444177.0
403,2021-02-28,120595,2259548,70152,2450295,121515.57813581685,2450295.0
404,2021-03-01,124336,2260719,70514,2455569,127572.78388287716,2455569.0
405,2021-03-02,113509,2277626,70926,2462061,125130.9720082789,2462061.0
406,2021-03-03,114900,2286728,71285,2472913,118155.16383123257,2472913.0
407,2021-03-04,117347,2295405,71554,2484306,117721.98820259604,2484306.0
408,2021-03-05,119136,2302899,71852,2493887,112419.93330319894,2493887.0
409,2021-03-06,122106,2308094,71951,2502151,112591.39560935172,2502151.0
410,2021-03-07,122271,2314400,71984,2508655,110085.73001720155,2508655.0
