,date,I,I_t
83,2020-04-14,59865,60441.16037957848
84,2020-04-15,58349,60270.70626747057
85,2020-04-16,56646,58890.66772235346
86,2020-04-17,53931,56747.96851513342
87,2020-04-18,53483,54807.85854178524
88,2020-04-19,52598,50947.19355708095
89,2020-04-20,50703,49420.62626006213
90,2020-04-21,48058,48520.30061213292
91,2020-04-22,45969,47291.47660073505
92,2020-04-23,44254,45911.10405807111
93,2020-04-24,39439,43710.49737289744
94,2020-04-25,40836,42293.54460031823
95,2020-04-26,39794,37060.73489442573
96,2020-04-27,38132,35725.46464495094
97,2020-04-28,36198,35492.49353374705
98,2020-04-29,34672,34657.83839752275
99,2020-04-30,32886,33424.63611260941
100,2020-05-01,30441,34282.26244150988
101,2020-05-02,29155,30590.875642596853
102,2020-05-03,28198,28038.73615320781
103,2020-05-04,26459,26314.636636656956
104,2020-05-05,24914,25056.510980215186
105,2020-05-06,20987,23941.40782321095
106,2020-05-07,20338,22715.15779366518
107,2020-05-08,21378,19998.49128736336
108,2020-05-09,20475,17858.72696210203
109,2020-05-10,19910,17139.485676896682
110,2020-05-11,19298,17068.57643788843
111,2020-05-12,18233,17235.466650716495
112,2020-05-13,17537,19198.29285942395
113,2020-05-14,16294,18606.15645785279
114,2020-05-15,15739,16154.911667631422
115,2020-05-16,15214,15389.60446257756
116,2020-05-17,14396,14028.386975661284
117,2020-05-18,13507,13564.936763360423
118,2020-05-19,14016,12846.77792865085
119,2020-05-20,13363,12255.30516082347
120,2020-05-21,12731,12313.003344926989
121,2020-05-22,12418,12536.079215997195
122,2020-05-23,12009,12119.05288924694
123,2020-05-24,11764,11667.50750421724
124,2020-05-25,11092,11740.746718711964
125,2020-05-26,10861,10591.543723846906
126,2020-05-27,10276,10647.398586055257
127,2020-05-28,10366,10221.587543289406
128,2020-05-29,10173,9895.873793141807
129,2020-05-30,9751,9570.741361961878
130,2020-05-31,9518,9375.821527045677
131,2020-06-01,9407,9480.09834728314
132,2020-06-02,8707,8802.468632888487
133,2020-06-03,8066,8932.217449607673
134,2020-06-04,7928,8401.281827309847
135,2020-06-05,7786,7687.454057594978
136,2020-06-06,7819,7368.558942080744
137,2020-06-07,7841,7077.082849258771
138,2020-06-08,7858,6628.019972192809
139,2020-06-09,7641,7056.710981465526
140,2020-06-10,7140,7519.572646269623
141,2020-06-11,6958,7390.919436448178
142,2020-06-12,6908,7258.536595494351
143,2020-06-13,6504,6796.49630823129
144,2020-06-14,6628,6704.658290608119
145,2020-06-15,6183,5938.058093007469
146,2020-06-16,6590,6093.331375741813
147,2020-06-17,6154,6106.024431053797
148,2020-06-18,7095,6048.085032979787
149,2020-06-19,7440,5907.657111713828
150,2020-06-20,7166,6859.19211027282
151,2020-06-21,7637,7106.43411551178
152,2020-06-22,7726,8043.797568341184
153,2020-06-23,7741,8004.88495081996
154,2020-06-24,7521,8724.930595619018
155,2020-06-25,7667,8122.282959880247
156,2020-06-26,7922,7842.225852875839
157,2020-06-27,7972,8101.094984318675
158,2020-06-28,8068,8048.761681788475
159,2020-06-29,8296,8142.012873510356
160,2020-06-30,8328,8157.309972667016
161,2020-07-01,7798,8615.003392200819
162,2020-07-02,7564,8686.70277418034
163,2020-07-03,7470,8346.551449593853
164,2020-07-04,7178,7431.878100822497
165,2020-07-05,6781,7422.103256742617
166,2020-07-06,6882,6723.549298918969
167,2020-07-07,6650,6284.129255809582
168,2020-07-08,6500,6319.937479506039
169,2020-07-09,6216,6130.288355855945
170,2020-07-10,6241,6054.10344302733
171,2020-07-11,6373,5817.44844673108
172,2020-07-12,6434,5894.179148713578
173,2020-07-13,6006,5880.361468064211
174,2020-07-14,6278,6096.512504317339
175,2020-07-15,5810,6008.362213272534
176,2020-07-16,5963,6549.743706547964
177,2020-07-17,6057,5818.134274294996
178,2020-07-18,6135,5838.92896607167
179,2020-07-19,6243,5592.548864656957
180,2020-07-20,6161,6328.245170421839
181,2020-07-21,6397,5852.621814208342
182,2020-07-22,6546,6565.328099826603
183,2020-07-23,6631,6393.285127558074
184,2020-07-24,6807,6494.061503613164
185,2020-07-25,7235,6931.019165264459
186,2020-07-26,7488,7052.6216650136175
187,2020-07-27,7673,7541.849654688326
188,2020-07-28,7865,7820.440614004447
189,2020-07-29,8132,8070.309794631387
190,2020-07-30,8840,8613.246698459385
191,2020-07-31,9260,8840.82803586232
192,2020-08-01,9215,9394.928044416123
193,2020-08-02,9158,9819.392064312377
194,2020-08-03,9363,10143.832023188075
195,2020-08-04,9492,10286.725771940815
196,2020-08-05,10366,10554.740039081282
197,2020-08-06,10577,9972.996091074256
198,2020-08-07,11066,9928.040973577728
199,2020-08-08,11152,10594.329209783438
200,2020-08-09,11303,11879.93333353092
201,2020-08-10,11923,12245.88806338234
202,2020-08-11,11985,12548.260695005294
203,2020-08-12,12655,12531.081102064094
204,2020-08-13,13410,12784.335322319128
205,2020-08-14,14121,12722.220054396525
206,2020-08-15,14497,13748.25513878292
207,2020-08-16,14585,14942.070810504643
208,2020-08-17,15215,15667.824035643387
209,2020-08-18,15202,16646.566967127463
210,2020-08-19,16003,16631.494552347463
211,2020-08-20,16670,16378.19870815164
212,2020-08-21,17107,16234.129552749984
213,2020-08-22,16983,17487.580914128557
214,2020-08-23,17234,17979.957793820977
215,2020-08-24,18193,18346.26335293356
216,2020-08-25,17969,18729.69323901243
217,2020-08-26,18034,19286.948157033406
218,2020-08-27,18372,18728.534017116886
219,2020-08-28,18650,18340.43000948368
220,2020-08-29,18746,19107.441232362347
221,2020-08-30,18722,19353.75782182969
222,2020-08-31,18704,19043.839315229525
223,2020-09-01,18305,19229.829614778308
224,2020-09-02,18185,19291.144671518246
225,2020-09-03,17993,19223.095095925077
226,2020-09-04,18154,17385.71810994713
227,2020-09-05,18159,17475.199904374644
228,2020-09-06,18183,17452.81997836724
229,2020-09-07,18591,17436.01823412071
230,2020-09-08,18242,17064.050028146336
231,2020-09-09,18307,19017.679330855943
232,2020-09-10,18521,18815.70424816785
233,2020-09-11,19038,18980.895711567908
234,2020-09-12,19512,18984.872395453487
235,2020-09-13,19842,19008.770342791584
236,2020-09-14,19849,19429.906062074497
237,2020-09-15,20535,20444.753662722276
238,2020-09-16,20873,20782.46662971216
239,2020-09-17,21235,21290.692939002285
240,2020-09-18,22207,21595.58550162348
241,2020-09-19,23034,21849.145481999934
242,2020-09-20,23383,22721.13308426884
243,2020-09-21,23514,24127.114704509862
244,2020-09-22,23314,24642.16955456133
245,2020-09-23,23896,25118.163202910087
246,2020-09-24,24144,25468.16557974556
247,2020-09-25,25097,24825.38344491361
248,2020-09-26,25463,24464.98106022884
249,2020-09-27,26009,25067.189109957984
250,2020-09-28,26470,26266.78206201065
251,2020-09-29,25776,26799.11548939856
252,2020-09-30,26557,27468.000931926923
253,2020-10-01,27810,27578.22254405428
254,2020-10-02,29134,26904.196559523916
255,2020-10-03,29580,28405.141177643294
256,2020-10-04,30038,29255.78833109796
257,2020-10-05,29495,30396.348966939662
258,2020-10-06,29814,33044.76219051185
259,2020-10-07,31833,32242.24608328708
260,2020-10-08,34387,31366.68119466973
261,2020-10-09,37178,31231.110043412194
262,2020-10-10,38909,33999.79904597998
263,2020-10-11,39700,37020.1369352623
264,2020-10-12,44819,43372.81902227701
265,2020-10-13,47099,46994.652840631206
266,2020-10-14,51115,50126.35025965695
267,2020-10-15,56231,52238.04835506069
268,2020-10-16,61002,56476.137458971214
269,2020-10-17,63750,63371.82446700025
270,2020-10-18,65426,72365.00290047687
271,2020-10-19,70554,75197.9748787075
272,2020-10-20,75966,78932.4635065347
273,2020-10-21,83838,80923.61823151153
274,2020-10-22,85135,84450.88019360269
275,2020-10-23,95025,91146.4670295968
276,2020-10-24,101649,96811.53204383788
277,2020-10-25,107632,108677.48399666524
278,2020-10-26,115115,116909.33145073548
279,2020-10-27,125601,123665.3794319304
280,2020-10-28,132639,128814.1249444942
281,2020-10-29,147613,146693.752635113
282,2020-10-30,155424,151422.13768021803
283,2020-10-31,164897,165418.40630483828
284,2020-11-01,170288,180025.2742682003
285,2020-11-02,186430,191583.24472920797
286,2020-11-03,193023,196375.79662474355
287,2020-11-04,213650,213068.4709480852
288,2020-11-05,225446,213991.05376906824
289,2020-11-06,236943,235780.41393126684
290,2020-11-07,243324,250126.53341062609
291,2020-11-08,250101,269132.80716814
292,2020-11-09,234117,273117.38024747046
293,2020-11-10,257510,282001.9705833436
294,2020-11-11,265596,257605.7007300991
295,2020-11-12,276408,263906.48286004766
296,2020-11-13,284776,269899.4992526489
297,2020-11-14,288226,279405.2970168156
298,2020-11-15,284659,291758.0839227569
299,2020-11-16,282380,316256.53745121905
300,2020-11-17,293272,297140.36793881736
301,2020-11-18,299822,292259.93169690855
302,2020-11-19,306902,292611.9653878271
303,2020-11-20,312420,298249.0778081805
304,2020-11-21,312938,306554.1178741462
305,2020-11-22,306581,322300.3327685871
306,2020-11-23,301987,322343.8770651044
307,2020-11-24,299290,311890.3325119689
308,2020-11-25,314296,304307.4792962922
309,2020-11-26,316653,294353.27352261014
310,2020-11-27,317425,295039.89492719056
311,2020-11-28,317709,303548.81641609315
312,2020-11-29,308588,318643.8748020766
313,2020-11-30,303999,317090.5382808678
314,2020-12-01,308121,315648.5342812962
315,2020-12-02,310730,299743.87558851106
316,2020-12-03,312356,293908.85014653666
317,2020-12-04,307002,295707.0617505705
318,2020-12-05,312221,295968.21235640586
319,2020-12-06,307276,306346.533995533
320,2020-12-07,291871,308991.0243592902
321,2020-12-08,300209,300624.9715035172
322,2020-12-09,304626,288151.2906338368
323,2020-12-10,316115,282640.18924872513
324,2020-12-11,326504,291546.4827626788
325,2020-12-12,338270,290824.26135103963
326,2020-12-13,337997,319666.4665583238
327,2020-12-14,322550,355329.7667105064
328,2020-12-15,335821,354243.7827603821
329,2020-12-16,343080,341412.76697469084
330,2020-12-17,350038,337927.60800526175
331,2020-12-18,365103,344682.54180231504
332,2020-12-19,375232,342263.49330964725
333,2020-12-20,364837,361254.2181160694
334,2020-12-21,359165,394246.4677010612
335,2020-12-22,370831,380573.1014216783
336,2020-12-23,377748,366387.2034530043
337,2020-12-24,380989,371046.7972345436
338,2020-12-25,367188,373748.46288270113
339,2020-12-26,363009,371315.6994989766
340,2020-12-27,356310,366369.6109269853
341,2020-12-28,346566,366274.5253077085
342,2020-12-29,340085,346044.2753778598
343,2020-12-30,361971,327994.94025137194
344,2020-12-31,376021,323264.27262373443
345,2021-01-01,339748,339468.6556554545
346,2021-01-02,338250,355146.9510313794
347,2021-01-03,326954,349401.99195839424
348,2021-01-04,315026,337888.2075975408
349,2021-01-05,305497,331677.7617163904
350,2021-01-06,307211,298765.5372895497
351,2021-01-07,330555,273401.0132009764
352,2021-01-08,332473,290332.39259970386
353,2021-01-09,341659,293626.3316276484
354,2021-01-10,321567,315867.5672060512
355,2021-01-11,309146,343657.05550061684
356,2021-01-12,308676,341361.9769295659
357,2021-01-13,309114,324053.8538707013
358,2021-01-14,308634,297513.6228110267
359,2021-01-15,313947,295101.4106905383
360,2021-01-16,311702,282601.89035166334
361,2021-01-17,293688,299346.8041643528
362,2021-01-18,298923,312109.66149093787
363,2021-01-19,264905,295589.4909920228
364,2021-01-20,272289,288394.86396325787
365,2021-01-21,260371,263514.38947254006
366,2021-01-22,259654,249213.10237184825
367,2021-01-23,259657,238974.70476441635
368,2021-01-24,254503,241485.7114535969
369,2021-01-25,241593,231083.3908933463
370,2021-01-26,228491,247433.6305838443
371,2021-01-27,243248,234087.42598822125
372,2021-01-28,223178,222654.82094672968
373,2021-01-29,233143,225335.98221968624
374,2021-01-30,228877,212312.73930055223
375,2021-01-31,228450,213408.99340271263
376,2021-02-01,207136,221149.75705288185
377,2021-02-02,194811,225645.7409081978
378,2021-02-03,188897,201947.9037374662
379,2021-02-04,184599,201964.7772995737
380,2021-02-05,181879,173125.86048699482
381,2021-02-06,181464,165680.32733222397
382,2021-02-07,177309,155158.36273971642
383,2021-02-08,179792,164756.68696104645
384,2021-02-09,157079,169048.13427951618
385,2021-02-10,150850,172127.04358721932
386,2021-02-11,147493,158047.21247460545
387,2021-02-12,145309,147477.44439795773
388,2021-02-13,143914,134497.65617946108
389,2021-02-14,139704,129614.47583609776
390,2021-02-15,133319,120774.2860710632
391,2021-02-16,125837,132345.62246316235
392,2021-02-17,123320,128768.45236442526
393,2021-02-18,122594,122642.16865358084
394,2021-02-19,122310,115707.24468471015
395,2021-02-20,123473,111396.59694517642
396,2021-02-21,122459,110601.08150932
397,2021-02-22,118697,114329.54632173736
398,2021-02-23,114506,119510.9631410102
399,2021-02-24,115794,118494.2880523752
400,2021-02-25,125676,114220.64204519478
401,2021-02-26,119394,112134.6597301397
402,2021-02-27,121115,114899.77944451128
403,2021-02-28,120595,116663.93402853869
404,2021-03-01,124336,121965.19807665575
405,2021-03-02,113509,125338.38836161264
406,2021-03-03,114900,126622.18643877158
407,2021-03-04,117347,113643.88960819152
408,2021-03-05,119136,114833.85499832492
409,2021-03-06,122106,112957.07995122032
410,2021-03-07,122271,114077.97848263978
411,2021-03-08,118814,113816.53763364992
412,2021-03-09,116194,126021.22565017664
413,2021-03-10,128450,123896.55431085054
414,2021-03-11,124022,119431.66162759691
415,2021-03-12,129358,124615.48772585051
416,2021-03-13,139121,123309.6670004581
417,2021-03-14,136384,128147.78285818304
418,2021-03-15,134100,142308.4318896643
419,2021-03-16,141880,149163.19361031195
420,2021-03-17,148983,138528.08970062248
421,2021-03-18,159256,148337.0825850647
422,2021-03-19,166542,153818.81943485752
423,2021-03-20,175235,156968.0216908079
424,2021-03-21,168545,175433.9781230116
425,2021-03-22,166070,193766.7869868052
426,2021-03-23,175148,192344.62004483555
427,2021-03-24,187485,183916.5745617057
428,2021-03-25,197381,178960.00917084486
429,2021-03-26,207561,186065.5370238022
430,2021-03-27,217812,192991.84498493487
431,2021-03-28,209683,220053.0546328147
432,2021-03-29,207393,239453.82902573893
433,2021-03-30,216661,237024.17586806405
434,2021-03-31,227395,225693.7184775931
435,2021-04-01,237480,222372.2563192896
436,2021-04-02,238886,227024.23762148112
437,2021-04-03,233279,231456.20192588837
438,2021-04-04,233419,252672.61638945036
439,2021-04-05,237593,253400.09803119808
440,2021-04-06,227767,246059.64051705747
441,2021-04-07,224204,239243.18670500896
442,2021-04-08,248440,223763.88495658056
443,2021-04-09,257499,217921.1098914547
444,2021-04-10,262140,237339.38365946183
445,2021-04-11,241428,252594.26281335516
446,2021-04-12,237488,263959.8196715086
447,2021-04-13,247978,264430.47194258426
448,2021-04-14,260775,260870.9369930448
449,2021-04-15,283120,239391.97508468415
450,2021-04-16,290954,239499.24647834836
451,2021-04-17,289794,260802.2832824633
452,2021-04-18,280390,306446.04003589146
453,2021-04-19,274894,321147.91797280894
454,2021-04-20,286414,313976.49042735994
455,2021-04-21,289060,291989.2660313261
456,2021-04-22,316896,274413.0716500244
457,2021-04-23,318689,276936.10897565645
458,2021-04-24,306783,300915.13621435955
459,2021-04-25,307291,329220.4139260137
460,2021-04-26,290744,330325.80478395143
461,2021-04-27,295339,321098.59364264685
462,2021-04-28,317649,311388.73064615054
463,2021-04-29,320264,278367.9990994551
464,2021-04-30,313628,291460.53141163854
465,2021-05-01,315573,312478.5380378421
466,2021-05-02,297654,316700.8460743288
467,2021-05-03,300811,328354.99972192524
468,2021-05-04,303177,314695.5112363864
469,2021-05-05,281954,286938.3477410168
470,2021-05-06,277917,289271.78371057555
471,2021-05-07,290463,270853.0536488179
